TRIAL,ENTRY,PLOT,REP,BLOCK
1,10,1,1,1
1,105,2,1,1
1,101,3,1,1
1,27,4,1,1
1,100,5,1,1
1,13,6,1,1
1,96,7,1,1
1,40,8,1,1
1,68,9,1,1
1,22,10,1,1
1,49,11,1,1
1,92,12,1,1
1,17,13,1,1
1,81,14,1,1
1,54,15,1,2
1,72,16,1,2
1,31,17,1,2
1,44,18,1,2
1,99,19,1,2
1,112,20,1,2
1,98,21,1,2
1,108,22,1,2
1,70,23,1,2
1,42,24,1,2
1,55,25,1,2
1,109,26,1,2
1,7,27,1,2
1,28,28,1,2
1,73,29,1,3
1,29,30,1,3
1,64,31,1,3
1,1,32,1,3
1,46,33,1,3
1,43,34,1,3
1,104,35,1,3
1,86,36,1,3
1,45,37,1,3
1,56,38,1,3
1,76,39,1,3
1,57,40,1,3
1,3,41,1,3
1,2,42,1,3
1,59,43,1,4
1,16,44,1,4
1,21,45,1,4
1,4,46,1,4
1,47,47,1,4
1,110,48,1,4
1,69,49,1,4
1,91,50,1,4
1,24,51,1,4
1,89,52,1,4
1,30,53,1,4
1,38,54,1,4
1,48,55,1,4
1,106,56,1,4
1,36,57,1,5
1,84,58,1,5
1,58,59,1,5
1,8,60,1,5
1,19,61,1,5
1,79,62,1,5
1,41,63,1,5
1,107,64,1,5
1,35,65,1,5
1,9,66,1,5
1,94,67,1,5
1,51,68,1,5
1,37,69,1,5
1,33,70,1,5
1,23,71,1,6
1,80,72,1,6
1,74,73,1,6
1,65,74,1,6
1,52,75,1,6
1,75,76,1,6
1,32,77,1,6
1,5,78,1,6
1,18,79,1,6
1,88,80,1,6
1,102,81,1,6
1,15,82,1,6
1,111,83,1,6
1,93,84,1,6
1,82,85,1,7
1,97,86,1,7
1,6,87,1,7
1,85,88,1,7
1,53,89,1,7
1,60,90,1,7
1,12,91,1,7
1,34,92,1,7
1,95,93,1,7
1,14,94,1,7
1,71,95,1,7
1,61,96,1,7
1,90,97,1,7
1,25,98,1,7
1,63,99,1,8
1,67,100,1,8
1,11,101,1,8
1,20,102,1,8
1,39,103,1,8
1,66,104,1,8
1,78,105,1,8
1,77,106,1,8
1,62,107,1,8
1,26,108,1,8
1,87,109,1,8
1,83,110,1,8
1,50,111,1,8
1,103,112,1,8
1,71,113,2,1
1,35,114,2,1
1,97,115,2,1
1,1,116,2,1
1,76,117,2,1
1,80,118,2,1
1,66,119,2,1
1,6,120,2,1
1,21,121,2,1
1,55,122,2,1
1,27,123,2,1
1,41,124,2,1
1,79,125,2,1
1,103,126,2,1
1,94,127,2,2
1,96,128,2,2
1,22,129,2,2
1,91,130,2,2
1,88,131,2,2
1,63,132,2,2
1,52,133,2,2
1,107,134,2,2
1,10,135,2,2
1,99,136,2,2
1,86,137,2,2
1,58,138,2,2
1,3,139,2,2
1,26,140,2,2
1,33,141,2,3
1,29,142,2,3
1,59,143,2,3
1,92,144,2,3
1,7,145,2,3
1,53,146,2,3
1,9,147,2,3
1,93,148,2,3
1,4,149,2,3
1,105,150,2,3
1,30,151,2,3
1,73,152,2,3
1,51,153,2,3
1,15,154,2,3
1,47,155,2,4
1,11,156,2,4
1,85,157,2,4
1,110,158,2,4
1,98,159,2,4
1,13,160,2,4
1,42,161,2,4
1,32,162,2,4
1,83,163,2,4
1,14,164,2,4
1,84,165,2,4
1,31,166,2,4
1,50,167,2,4
1,39,168,2,4
1,109,169,2,5
1,44,170,2,5
1,57,171,2,5
1,8,172,2,5
1,77,173,2,5
1,90,174,2,5
1,89,175,2,5
1,68,176,2,5
1,108,177,2,5
1,64,178,2,5
1,74,179,2,5
1,19,180,2,5
1,2,181,2,5
1,17,182,2,5
1,45,183,2,6
1,101,184,2,6
1,69,185,2,6
1,65,186,2,6
1,82,187,2,6
1,38,188,2,6
1,61,189,2,6
1,49,190,2,6
1,34,191,2,6
1,16,192,2,6
1,100,193,2,6
1,72,194,2,6
1,28,195,2,6
1,37,196,2,6
1,23,197,2,7
1,111,198,2,7
1,43,199,2,7
1,104,200,2,7
1,106,201,2,7
1,75,202,2,7
1,60,203,2,7
1,62,204,2,7
1,67,205,2,7
1,24,206,2,7
1,48,207,2,7
1,54,208,2,7
1,56,209,2,7
1,40,210,2,7
1,46,211,2,8
1,18,212,2,8
1,78,213,2,8
1,95,214,2,8
1,36,215,2,8
1,81,216,2,8
1,112,217,2,8
1,5,218,2,8
1,87,219,2,8
1,20,220,2,8
1,102,221,2,8
1,70,222,2,8
1,25,223,2,8
1,12,224,2,8
2,10,1,1,1
2,105,2,1,1
2,101,3,1,1
2,27,4,1,1
2,100,5,1,1
2,13,6,1,1
2,96,7,1,1
2,40,8,1,1
2,68,9,1,1
2,22,10,1,1
2,49,11,1,1
2,92,12,1,1
2,17,13,1,1
2,81,14,1,1
2,54,15,1,2
2,72,16,1,2
2,31,17,1,2
2,44,18,1,2
2,99,19,1,2
2,112,20,1,2
2,98,21,1,2
2,108,22,1,2
2,70,23,1,2
2,42,24,1,2
2,55,25,1,2
2,109,26,1,2
2,7,27,1,2
2,28,28,1,2
2,73,29,1,3
2,29,30,1,3
2,64,31,1,3
2,1,32,1,3
2,46,33,1,3
2,43,34,1,3
2,104,35,1,3
2,86,36,1,3
2,45,37,1,3
2,56,38,1,3
2,76,39,1,3
2,57,40,1,3
2,3,41,1,3
2,2,42,1,3
2,59,43,1,4
2,16,44,1,4
2,21,45,1,4
2,4,46,1,4
2,47,47,1,4
2,110,48,1,4
2,69,49,1,4
2,91,50,1,4
2,24,51,1,4
2,89,52,1,4
2,30,53,1,4
2,38,54,1,4
2,48,55,1,4
2,106,56,1,4
2,36,57,1,5
2,84,58,1,5
2,58,59,1,5
2,8,60,1,5
2,19,61,1,5
2,79,62,1,5
2,41,63,1,5
2,107,64,1,5
2,35,65,1,5
2,9,66,1,5
2,94,67,1,5
2,51,68,1,5
2,37,69,1,5
2,33,70,1,5
2,23,71,1,6
2,80,72,1,6
2,74,73,1,6
2,65,74,1,6
2,52,75,1,6
2,75,76,1,6
2,32,77,1,6
2,5,78,1,6
2,18,79,1,6
2,88,80,1,6
2,102,81,1,6
2,15,82,1,6
2,111,83,1,6
2,93,84,1,6
2,82,85,1,7
2,97,86,1,7
2,6,87,1,7
2,85,88,1,7
2,53,89,1,7
2,60,90,1,7
2,12,91,1,7
2,34,92,1,7
2,95,93,1,7
2,14,94,1,7
2,71,95,1,7
2,61,96,1,7
2,90,97,1,7
2,25,98,1,7
2,63,99,1,8
2,67,100,1,8
2,11,101,1,8
2,20,102,1,8
2,39,103,1,8
2,66,104,1,8
2,78,105,1,8
2,77,106,1,8
2,62,107,1,8
2,26,108,1,8
2,87,109,1,8
2,83,110,1,8
2,50,111,1,8
2,103,112,1,8
2,71,113,2,1
2,35,114,2,1
2,97,115,2,1
2,1,116,2,1
2,76,117,2,1
2,80,118,2,1
2,66,119,2,1
2,6,120,2,1
2,21,121,2,1
2,55,122,2,1
2,27,123,2,1
2,41,124,2,1
2,79,125,2,1
2,103,126,2,1
2,94,127,2,2
2,96,128,2,2
2,22,129,2,2
2,91,130,2,2
2,88,131,2,2
2,63,132,2,2
2,52,133,2,2
2,107,134,2,2
2,10,135,2,2
2,99,136,2,2
2,86,137,2,2
2,58,138,2,2
2,3,139,2,2
2,26,140,2,2
2,33,141,2,3
2,29,142,2,3
2,59,143,2,3
2,92,144,2,3
2,7,145,2,3
2,53,146,2,3
2,9,147,2,3
2,93,148,2,3
2,4,149,2,3
2,105,150,2,3
2,30,151,2,3
2,73,152,2,3
2,51,153,2,3
2,15,154,2,3
2,47,155,2,4
2,11,156,2,4
2,85,157,2,4
2,110,158,2,4
2,98,159,2,4
2,13,160,2,4
2,42,161,2,4
2,32,162,2,4
2,83,163,2,4
2,14,164,2,4
2,84,165,2,4
2,31,166,2,4
2,50,167,2,4
2,39,168,2,4
2,109,169,2,5
2,44,170,2,5
2,57,171,2,5
2,8,172,2,5
2,77,173,2,5
2,90,174,2,5
2,89,175,2,5
2,68,176,2,5
2,108,177,2,5
2,64,178,2,5
2,74,179,2,5
2,19,180,2,5
2,2,181,2,5
2,17,182,2,5
2,45,183,2,6
2,101,184,2,6
2,69,185,2,6
2,65,186,2,6
2,82,187,2,6
2,38,188,2,6
2,61,189,2,6
2,49,190,2,6
2,34,191,2,6
2,16,192,2,6
2,100,193,2,6
2,72,194,2,6
2,28,195,2,6
2,37,196,2,6
2,23,197,2,7
2,111,198,2,7
2,43,199,2,7
2,104,200,2,7
2,106,201,2,7
2,75,202,2,7
2,60,203,2,7
2,62,204,2,7
2,67,205,2,7
2,24,206,2,7
2,48,207,2,7
2,54,208,2,7
2,56,209,2,7
2,40,210,2,7
2,46,211,2,8
2,18,212,2,8
2,78,213,2,8
2,95,214,2,8
2,36,215,2,8
2,81,216,2,8
2,112,217,2,8
2,5,218,2,8
2,87,219,2,8
2,20,220,2,8
2,102,221,2,8
2,70,222,2,8
2,25,223,2,8
2,12,224,2,8
